"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"8/29/2020","1598659200","72009990.5","1653.34938188","22.96"
"8/30/2020","1598745600","72009990.5","1703.036275325","23.65"
"8/31/2020","1598832000","72009990.5","1668.471479885","23.17"
"9/1/2020","1598918400","72009990.5","1782.247264875","24.75"
"9/2/2020","1599004800","72009990.5","1781.52716497","24.74"
"9/3/2020","1599091200","72009990.5","1470.44400601","20.42"
"9/4/2020","1599177600","72009990.5","1512.929900405","21.01"
"9/5/2020","1599264000","72009990.5","1402.75461494","19.48"
"9/6/2020","1599350400","72009990.5","1670.6317796","23.20"
"9/7/2020","1599436800","72009990.5","1617.34438663","22.46"
"9/8/2020","1599523200","72009990.5","1673.51217922","23.24"
"9/9/2020","1599609600","72009990.5","1762.084467535","24.47"
"9/10/2020","1599696000","72009990.5","1766.405066965","24.53"
"9/11/2020","1599782400","72009990.5","1831.214058415","25.43"
"9/12/2020","1599868800","72009990.5","2055.16512887","28.54"
"9/13/2020","1599955200","72009990.5","2243.83130398","31.16"
"9/14/2020","1600041600","72009990.5","2245.991603695","31.19"
"9/15/2020","1600128000","72009990.5","1955.79134198","27.16"
"9/16/2020","1600214400","72009990.5","2006.19833533","27.86"
"9/17/2020","1600300800","72009990.5","1953.631042265","27.13"
"9/18/2020","1600387200","72009990.5","1993.23653704","27.68"
"9/19/2020","1600473600","72009990.5","1960.11194141","27.22"
"9/20/2020","1600560000","72009990.5","1898.18334958","26.36"
"9/21/2020","1600646400","72009990.5","1659.830281025","23.05"
"9/22/2020","1600732800","72009990.5","1732.56037143","24.06"
"9/23/2020","1600819200","72009990.5","1643.988083115","22.83"
"9/24/2020","1600905600","72009990.5","1770.00556649","24.58"
"9/25/2020","1600992000","72009990.5","1777.926665445","24.69"
"9/26/2020","1601078400","72009990.5","1886.6617511","26.20"
"9/27/2020","1601164800","72009990.5","1890.98235053","26.26"
"9/28/2020","1601251200","72009990.5","1941.38934388","26.96"
"9/29/2020","1601337600","72009990.5","2078.928425735","28.87"
"9/30/2020","1601424000","72009990.5","2113.493221175","29.35"
"10/1/2020","1601510400","72009990.5","1975.234039415","27.43"
"10/2/2020","1601596800","72009990.5","1968.033040365","27.33"
"10/3/2020","1601683200","72009990.5","2032.12193191","28.22"
"10/4/2020","1601769600","72009990.5","2089.72992431","29.02"
"10/5/2020","1601856000","72009990.5","2061.646028015","28.63"
"10/6/2020","1601942400","72009990.5","1995.396836755","27.71"
"10/7/2020","1602028800","72009990.5","1994.67673685","27.70"
"10/8/2020","1602115200","72009990.5","1995.396836755","27.71"
"10/9/2020","1602201600","72009990.5","2044.363630295","28.39"
"10/10/2020","1602288000","72009990.5","2045.803830105","28.41"
"10/11/2020","1602374400","72009990.5","2055.16512887","28.54"
"10/12/2020","1602460800","72009990.5","2209.986608445","30.69"
"10/13/2020","1602547200","72009990.5","2212.14690816","30.72"
"10/14/2020","1602633600","72009990.5","2222.22830683","30.86"
"10/15/2020","1602720000","72009990.5","2255.35290246","31.32"
"10/16/2020","1602806400","72009990.5","2161.019814905","30.01"
"10/17/2020","1602892800","72009990.5","2176.862012815","30.23"
"10/18/2020","1602979200","72009990.5","2208.546408635","30.67"
"10/19/2020","1603065600","72009990.5","2154.53891576","29.92"
"10/20/2020","1603152000","72009990.5","2073.167626495","28.79"
"10/21/2020","1603238400","72009990.5","2143.737417185","29.77"
"10/22/2020","1603324800","72009990.5","2207.82630873","30.66"
"10/23/2020","1603411200","72009990.5","2207.106208825","30.65"
"10/24/2020","1603497600","72009990.5","2205.666009015","30.63"
"10/25/2020","1603584000","72009990.5","2171.82131348","30.16"
"10/26/2020","1603670400","72009990.5","2236.63030493","31.06"
"10/27/2020","1603756800","72009990.5","2273.355400085","31.57"
"10/28/2020","1603843200","72009990.5","2186.22331158","30.36"
"10/29/2020","1603929600","72009990.5","2150.938416235","29.87"
"10/30/2020","1604016000","72009990.5","2053.72492906","28.52"
"10/31/2020","1604102400","72009990.5","2054.445028965","28.53"
"11/1/2020","1604188800","72009990.5","2054.445028965","28.53"
"11/2/2020","1604275200","72009990.5","2004.75813552","27.84"
"11/3/2020","1604361600","72009990.5","0.000","0.00"
"11/4/2020","1604448000","72009990.5","1939.94914407","26.94"
"11/5/2020","1604534400","72009990.5","1996.11693666","27.72"
"11/6/2020","1604620800","72009990.5","2091.890224025","29.05"
"11/7/2020","1604707200","72009990.5","2000.43753609","27.78"
"11/8/2020","1604793600","72009990.5","2046.52393001","28.42"
"11/9/2020","1604880000","72009990.5","2024.200832955","28.11"
"11/10/2020","1604966400","72009990.5","2032.12193191","28.22"
"11/11/2020","1605052800","72009990.5","2017.71993381","28.02"
"11/12/2020","1605139200","72009990.5","1998.277236375","27.75"
"11/13/2020","1605225600","72009990.5","2032.12193191","28.22"
"11/14/2020","1605312000","72009990.5","2010.51893476","27.92"
"11/15/2020","1605398400","72009990.5","1993.23653704","27.68"
